covid_vacc_date,Black,Mixed,Other,South Asian,Unknown,White,Black_total,Mixed_total,Other_total,South Asian_total,Unknown_total,White_total
2020-12-01,0.0,0.0,0.0,0.0,0.0,0.0,44534,14280,17983,107611,22386,613046
2020-12-02,0.0,0.0,0.0,0.0,0.0,0.0,44534,14280,17983,107611,22386,613046
2020-12-03,0.0,0.0,0.0,0.0,0.0,0.0,44534,14280,17983,107611,22386,613046
2020-12-04,0.0,0.0,0.0,0.0,0.0,0.0,44534,14280,17983,107611,22386,613046
2020-12-08,0.0,7.0,7.0,14.0,0.0,175.0,44534,14280,17983,107611,22386,613046
2020-12-09,14.0,14.0,14.0,42.0,7.0,385.0,44534,14280,17983,107611,22386,613046
2020-12-10,28.0,21.0,21.0,70.0,14.0,644.0,44534,14280,17983,107611,22386,613046
2020-12-11,49.0,21.0,28.0,105.0,21.0,882.0,44534,14280,17983,107611,22386,613046
2020-12-12,56.0,28.0,35.0,140.0,28.0,1141.0,44534,14280,17983,107611,22386,613046
2020-12-13,63.0,28.0,35.0,168.0,28.0,1267.0,44534,14280,17983,107611,22386,613046
2020-12-14,70.0,35.0,42.0,203.0,35.0,1470.0,44534,14280,17983,107611,22386,613046
2020-12-15,77.0,35.0,56.0,252.0,42.0,1841.0,44534,14280,17983,107611,22386,613046
2020-12-16,98.0,42.0,56.0,294.0,56.0,2191.0,44534,14280,17983,107611,22386,613046
2020-12-17,126.0,49.0,63.0,364.0,77.0,2604.0,44534,14280,17983,107611,22386,613046
2020-12-18,154.0,63.0,77.0,427.0,91.0,3031.0,44534,14280,17983,107611,22386,613046
2020-12-19,168.0,70.0,84.0,490.0,91.0,3360.0,44534,14280,17983,107611,22386,613046
2020-12-20,189.0,77.0,98.0,574.0,105.0,3724.0,44534,14280,17983,107611,22386,613046
2020-12-21,224.0,91.0,112.0,679.0,119.0,4249.0,44534,14280,17983,107611,22386,613046
2020-12-22,252.0,98.0,133.0,805.0,133.0,4781.0,44534,14280,17983,107611,22386,613046
2020-12-23,301.0,112.0,161.0,917.0,154.0,5425.0,44534,14280,17983,107611,22386,613046
2020-12-24,315.0,119.0,175.0,987.0,161.0,5726.0,44534,14280,17983,107611,22386,613046
2020-12-25,315.0,119.0,175.0,987.0,161.0,5726.0,44534,14280,17983,107611,22386,613046
2020-12-26,315.0,119.0,182.0,1001.0,161.0,5733.0,44534,14280,17983,107611,22386,613046
2020-12-27,315.0,119.0,182.0,1008.0,168.0,5796.0,44534,14280,17983,107611,22386,613046
2020-12-28,329.0,126.0,182.0,1036.0,175.0,5929.0,44534,14280,17983,107611,22386,613046
