covid_vacc_date,no,yes,no_total,yes_total
2020-12-01,0.0,0.0,2066799.0,3087.0
2020-12-08,35.0,0.0,2066799.0,3087.0
2020-12-09,98.0,0.0,2066799.0,3087.0
2020-12-10,168.0,0.0,2066799.0,3087.0
2020-12-11,238.0,0.0,2066799.0,3087.0
2020-12-12,287.0,0.0,2066799.0,3087.0
2020-12-13,329.0,0.0,2066799.0,3087.0
2020-12-14,406.0,0.0,2066799.0,3087.0
2020-12-15,609.0,0.0,2066799.0,3087.0
2020-12-16,882.0,0.0,2066799.0,3087.0
2020-12-17,1505.0,0.0,2066799.0,3087.0
2020-12-18,2072.0,0.0,2066799.0,3087.0
2020-12-19,2744.0,0.0,2066799.0,3087.0
2020-12-20,3304.0,0.0,2066799.0,3087.0
2020-12-21,3969.0,0.0,2066799.0,3087.0
2020-12-22,4585.0,0.0,2066799.0,3087.0
2020-12-23,5306.0,0.0,2066799.0,3087.0
2020-12-24,5635.0,0.0,2066799.0,3087.0
2020-12-25,5642.0,0.0,2066799.0,3087.0
2020-12-26,5642.0,0.0,2066799.0,3087.0
2020-12-27,5670.0,0.0,2066799.0,3087.0
2020-12-28,5761.0,0.0,2066799.0,3087.0
2020-12-29,6216.0,0.0,2066799.0,3087.0
2020-12-30,8344.0,7.0,2066799.0,3087.0
2020-12-31,10563.0,21.0,2066799.0,3087.0
2021-01-01,11130.0,21.0,2066799.0,3087.0
2021-01-02,11886.0,21.0,2066799.0,3087.0
2021-01-03,12033.0,21.0,2066799.0,3087.0
2021-01-04,12250.0,21.0,2066799.0,3087.0
2021-01-05,12698.0,21.0,2066799.0,3087.0
2021-01-06,15365.0,28.0,2066799.0,3087.0
2021-01-07,24997.0,35.0,2066799.0,3087.0
2021-01-08,37765.0,63.0,2066799.0,3087.0
2021-01-09,48391.0,77.0,2066799.0,3087.0
2021-01-10,52948.0,84.0,2066799.0,3087.0
2021-01-11,56539.0,84.0,2066799.0,3087.0
2021-01-12,63938.0,98.0,2066799.0,3087.0
2021-01-13,80241.0,119.0,2066799.0,3087.0
2021-01-14,98938.0,154.0,2066799.0,3087.0
2021-01-15,121268.0,182.0,2066799.0,3087.0
2021-01-16,139594.0,196.0,2066799.0,3087.0
